The prime minister of Canada is the official who serves as the primary minister of the Crown, chair of the Cabinet, and thus head of government of Canada. Twenty-four people (twenty-three men and one woman) have served as prime minister. Officially, the prime minister is appointed by the governor general of Canada, but by constitutional convention, the prime minister must have the confidence of the elected House of Commons. Normally, this is the leader of the party caucus with the greatest number of seats in the house. However, in a minority parliament the leader of an opposition party may be asked to form a government if the incumbent government resigns and the governor general is persuaded that they have the confidence of the House. By constitutional convention, a prime minister holds a seat in parliament and, since the early 20th century, this has more specifically meant the House of Commons. The 24th and current prime minister is Mark Carney, who assumed office on 14 March 2025. There are currently six living former prime ministers. The most recent former prime minister to die was Brian Mulroney, on 29 February 2024. == Model ==
The office is not outlined in any of the documents that constitute the written portion of the Constitution of Canada; executive authority is formally vested in the sovereign and exercised on the sovereign's behalf by the governor general. The prime ministership is part of Canada's constitutional convention tradition. The office was modelled after that which existed in the United Kingdom at the time of Confederation. John A. Macdonald was commissioned by the Viscount Monck on 24 May 1867 to form the first government of the Canadian Confederation. On 1 July 1867, the first ministry assumed office. == Term ==
When the prime minister begins their term is determined by the date that they are sworn in as prime minister or, if they do not take an oath as prime minister, the date they were sworn into another portfolio, as an oath of office as prime minister is not required. However, since 1957, all incoming prime ministers have sworn an oath as prime minister. Before 1920, prime ministers' resignations were accepted immediately by the governor general and the last day of the ministries were the date he died or the date of resignation. Since 1920, the outgoing prime minister has only formally resigned when the new government is ready to be formed. The Interpretation Act of 1967 states that "where an appointment is made effective or terminates on a specified day, that appointment is considered to be effective or to terminate after the end of the previous day". Thus, although the outgoing prime minister formally resigns only hours before the incoming ministry swears their oaths, both during the day, the ministries are effectively changed at midnight the night before. Some sources, including the Parliament of Canada, apply this convention as far back as 1917. Two prime ministers have died in office: John A. Macdonald (1867–1873, 1878–1891) and John Thompson (1892–1894), both of natural causes. All others have resigned, either after losing an election or upon retirement. == Prime ministers ==

Table:
No.,Portrait,Name (Birth–Death),Term of office,Term of office.1,Electoral mandates (Assembly),Political party,Political party.1,Riding,Cabinet,Ref. 1 (1 of 2),,John A. Macdonald (1815–1891),1 July 1867,5 November 1873,Title created (caretaker government)⁠ 1867 election (1st Parl. )⁠ 1872 election (2nd Parl. ),,Liberal–Conservative,"MP for Kingston, ON",1st,[2][6]
19,,Kim Campbell (b. 1947),"Minister of Justice, Minister of Veterans Affairs, Minister of National Defence, Minister of Intergovernmental Affairs; only female prime minister of Canada. Defeated and lost her seat in 1993 election. ","Minister of Justice, Minister of Veterans Affairs, Minister of National Defence, Minister of Intergovernmental Affairs; only female prime minister of Canada. Defeated and lost her seat in 1993 election. ","Minister of Justice, Minister of Veterans Affairs, Minister of National Defence, Minister of Intergovernmental Affairs; only female prime minister of Canada. Defeated and lost her seat in 1993 election. ","Minister of Justice, Minister of Veterans Affairs, Minister of National Defence, Minister of Intergovernmental Affairs; only female prime minister of Canada. Defeated and lost her seat in 1993 election. ","Minister of Justice, Minister of Veterans Affairs, Minister of National Defence, Minister of Intergovernmental Affairs; only female prime minister of Canada. Defeated and lost her seat in 1993 election. ","Minister of Justice, Minister of Veterans Affairs, Minister of National Defence, Minister of Intergovernmental Affairs; only female prime minister of Canada. Defeated and lost her seat in 1993 election. ","Minister of Justice, Minister of Veterans Affairs, Minister of National Defence, Minister of Intergovernmental Affairs; only female prime minister of Canada. Defeated and lost her seat in 1993 election. ","Minister of Justice, Minister of Veterans Affairs, Minister of National Defence, Minister of Intergovernmental Affairs; only female prime minister of Canada. Defeated and lost her seat in 1993 election." 20,,Jean Chrétien (b. 1934),4 November 1993,12 December 2003,1993 election (35th Parl. )⁠ 1997 election (36th Parl. )⁠ 2000 election (37th Parl. ),,Liberal (Ldr. 1990),"MP for Saint-Maurice, QC",26th,[*][43]
20,,Jean Chrétien (b. 1934),"Minister of Finance, Minister of Indian Affairs, Minister of Energy, Mines and Resources, Minister of Justice and Energy Minister, President of the Treasury Board, Minister of National Revenue, Deputy Prime Minister of Canada; Privatization of Canadian National Railway, Red Book; Harmonized Sales Tax; 1995 Quebec referendum; Clarity Act; Assassination attempt; Kosovo War; 1997 Red River flood; Social Union Framework Agreement; Creation of Nunavut Territory; Youth Criminal Justice Act; Operation Yellow Ribbon; Invasion of Afghanistan; Opposition to the Invasion of Iraq; Sponsorship scandal; Kyoto Protocol; Gomery Inquiry. ","Minister of Finance, Minister of Indian Affairs, Minister of Energy, Mines and Resources, Minister of Justice and Energy Minister, President of the Treasury Board, Minister of National Revenue, Deputy Prime Minister of Canada; Privatization of Canadian National Railway, Red Book; Harmonized Sales Tax; 1995 Quebec referendum; Clarity Act; Assassination attempt; Kosovo War; 1997 Red River flood; Social Union Framework Agreement; Creation of Nunavut Territory; Youth Criminal Justice Act; Operation Yellow Ribbon; Invasion of Afghanistan; Opposition to the Invasion of Iraq; Sponsorship scandal; Kyoto Protocol; Gomery Inquiry. ","Minister of Finance, Minister of Indian Affairs, Minister of Energy, Mines and Resources, Minister of Justice and Energy Minister, President of the Treasury Board, Minister of National Revenue, Deputy Prime Minister of Canada; Privatization of Canadian National Railway, Red Book; Harmonized Sales Tax; 1995 Quebec referendum; Clarity Act; Assassination attempt; Kosovo War; 1997 Red River flood; Social Union Framework Agreement; Creation of Nunavut Territory; Youth Criminal Justice Act; Operation Yellow Ribbon; Invasion of Afghanistan; Opposition to the Invasion of Iraq; Sponsorship scandal; Kyoto Protocol; Gomery Inquiry. ","Minister of Finance, Minister of Indian Affairs, Minister of Energy, Mines and Resources, Minister of Justice and Energy Minister, President of the Treasury Board, Minister of National Revenue, Deputy Prime Minister of Canada; Privatization of Canadian National Railway, Red Book; Harmonized Sales Tax; 1995 Quebec referendum; Clarity Act; Assassination attempt; Kosovo War; 1997 Red River flood; Social Union Framework Agreement; Creation of Nunavut Territory; Youth Criminal Justice Act; Operation Yellow Ribbon; Invasion of Afghanistan; Opposition to the Invasion of Iraq; Sponsorship scandal; Kyoto Protocol; Gomery Inquiry. ","Minister of Finance, Minister of Indian Affairs, Minister of Energy, Mines and Resources, Minister of Justice and Energy Minister, President of the Treasury Board, Minister of National Revenue, Deputy Prime Minister of Canada; Privatization of Canadian National Railway, Red Book; Harmonized Sales Tax; 1995 Quebec referendum; Clarity Act; Assassination attempt; Kosovo War; 1997 Red River flood; Social Union Framework Agreement; Creation of Nunavut Territory; Youth Criminal Justice Act; Operation Yellow Ribbon; Invasion of Afghanistan; Opposition to the Invasion of Iraq; Sponsorship scandal; Kyoto Protocol; Gomery Inquiry. ","Minister of Finance, Minister of Indian Affairs, Minister of Energy, Mines and Resources, Minister of Justice and Energy Minister, President of the Treasury Board, Minister of National Revenue, Deputy Prime Minister of Canada; Privatization of Canadian National Railway, Red Book; Harmonized Sales Tax; 1995 Quebec referendum; Clarity Act; Assassination attempt; Kosovo War; 1997 Red River flood; Social Union Framework Agreement; Creation of Nunavut Territory; Youth Criminal Justice Act; Operation Yellow Ribbon; Invasion of Afghanistan; Opposition to the Invasion of Iraq; Sponsorship scandal; Kyoto Protocol; Gomery Inquiry. ","Minister of Finance, Minister of Indian Affairs, Minister of Energy, Mines and Resources, Minister of Justice and Energy Minister, President of the Treasury Board, Minister of National Revenue, Deputy Prime Minister of Canada; Privatization of Canadian National Railway, Red Book; Harmonized Sales Tax; 1995 Quebec referendum; Clarity Act; Assassination attempt; Kosovo War; 1997 Red River flood; Social Union Framework Agreement; Creation of Nunavut Territory; Youth Criminal Justice Act; Operation Yellow Ribbon; Invasion of Afghanistan; Opposition to the Invasion of Iraq; Sponsorship scandal; Kyoto Protocol; Gomery Inquiry. ","Minister of Finance, Minister of Indian Affairs, Minister of Energy, Mines and Resources, Minister of Justice and Energy Minister, President of the Treasury Board, Minister of National Revenue, Deputy Prime Minister of Canada; Privatization of Canadian National Railway, Red Book; Harmonized Sales Tax; 1995 Quebec referendum; Clarity Act; Assassination attempt; Kosovo War; 1997 Red River flood; Social Union Framework Agreement; Creation of Nunavut Territory; Youth Criminal Justice Act; Operation Yellow Ribbon; Invasion of Afghanistan; Opposition to the Invasion of Iraq; Sponsorship scandal; Kyoto Protocol; Gomery Inquiry." 21,,Paul Martin (b. 1938),12 December 2003,6 February 2006,Appointment (37th Parl. )⁠ 2004 election (38th Parl. ),,Liberal (Ldr. 2003),"MP for LaSalle—Émard, QC",27th,[*][44]
21,,Paul Martin (b. 1938),"Only son of Paul Martin Sr., a prominent diplomat; served as Minister of Finance; Minority government. Civil Marriage Act; Kelowna Accord; Rejection of US Anti-Missile Treaty; Sponsorship scandal; Gomery inquiry; G20; Atlantic Accord","Only son of Paul Martin Sr., a prominent diplomat; served as Minister of Finance; Minority government. Civil Marriage Act; Kelowna Accord; Rejection of US Anti-Missile Treaty; Sponsorship scandal; Gomery inquiry; G20; Atlantic Accord","Only son of Paul Martin Sr., a prominent diplomat; served as Minister of Finance; Minority government. Civil Marriage Act; Kelowna Accord; Rejection of US Anti-Missile Treaty; Sponsorship scandal; Gomery inquiry; G20; Atlantic Accord","Only son of Paul Martin Sr., a prominent diplomat; served as Minister of Finance; Minority government. Civil Marriage Act; Kelowna Accord; Rejection of US Anti-Missile Treaty; Sponsorship scandal; Gomery inquiry; G20; Atlantic Accord","Only son of Paul Martin Sr., a prominent diplomat; served as Minister of Finance; Minority government. Civil Marriage Act; Kelowna Accord; Rejection of US Anti-Missile Treaty; Sponsorship scandal; Gomery inquiry; G20; Atlantic Accord","Only son of Paul Martin Sr., a prominent diplomat; served as Minister of Finance; Minority government. Civil Marriage Act; Kelowna Accord; Rejection of US Anti-Missile Treaty; Sponsorship scandal; Gomery inquiry; G20; Atlantic Accord","Only son of Paul Martin Sr., a prominent diplomat; served as Minister of Finance; Minority government. Civil Marriage Act; Kelowna Accord; Rejection of US Anti-Missile Treaty; Sponsorship scandal; Gomery inquiry; G20; Atlantic Accord","Only son of Paul Martin Sr., a prominent diplomat; served as Minister of Finance; Minority government. Civil Marriage Act; Kelowna Accord; Rejection of US Anti-Missile Treaty; Sponsorship scandal; Gomery inquiry; G20; Atlantic Accord"
22,,Stephen Harper (b. 1959),6 February 2006,4 November 2015,2006 election (39th Parl. )⁠ 2008 election (40th Parl. )⁠ 2011 election (41st Parl. ),,Conservative (Ldr. 2004),"MP for Calgary Southwest, AB",28th,[*][45]
22,,Stephen Harper (b. 1959),"Accountability Act; Softwood Lumber Agreement; Afghanistan Mission; 2006 Ontario terrorism plot; Québécois nation motion; 2008 financial crisis; Coalition crisis; Economic Action Plan; Afghan detainee issue; Parliamentary contempt; Withdrawal from the Kyoto Protocol; Repeal of the Long-Gun Registry; Senate expenses scandal; 2014 Parliament Hill shootings; Anti-terrorism Act, 2015. ","Accountability Act; Softwood Lumber Agreement; Afghanistan Mission; 2006 Ontario terrorism plot; Québécois nation motion; 2008 financial crisis; Coalition crisis; Economic Action Plan; Afghan detainee issue; Parliamentary contempt; Withdrawal from the Kyoto Protocol; Repeal of the Long-Gun Registry; Senate expenses scandal; 2014 Parliament Hill shootings; Anti-terrorism Act, 2015. ","Accountability Act; Softwood Lumber Agreement; Afghanistan Mission; 2006 Ontario terrorism plot; Québécois nation motion; 2008 financial crisis; Coalition crisis; Economic Action Plan; Afghan detainee issue; Parliamentary contempt; Withdrawal from the Kyoto Protocol; Repeal of the Long-Gun Registry; Senate expenses scandal; 2014 Parliament Hill shootings; Anti-terrorism Act, 2015. ","Accountability Act; Softwood Lumber Agreement; Afghanistan Mission; 2006 Ontario terrorism plot; Québécois nation motion; 2008 financial crisis; Coalition crisis; Economic Action Plan; Afghan detainee issue; Parliamentary contempt; Withdrawal from the Kyoto Protocol; Repeal of the Long-Gun Registry; Senate expenses scandal; 2014 Parliament Hill shootings; Anti-terrorism Act, 2015. ","Accountability Act; Softwood Lumber Agreement; Afghanistan Mission; 2006 Ontario terrorism plot; Québécois nation motion; 2008 financial crisis; Coalition crisis; Economic Action Plan; Afghan detainee issue; Parliamentary contempt; Withdrawal from the Kyoto Protocol; Repeal of the Long-Gun Registry; Senate expenses scandal; 2014 Parliament Hill shootings; Anti-terrorism Act, 2015. ","Accountability Act; Softwood Lumber Agreement; Afghanistan Mission; 2006 Ontario terrorism plot; Québécois nation motion; 2008 financial crisis; Coalition crisis; Economic Action Plan; Afghan detainee issue; Parliamentary contempt; Withdrawal from the Kyoto Protocol; Repeal of the Long-Gun Registry; Senate expenses scandal; 2014 Parliament Hill shootings; Anti-terrorism Act, 2015. ","Accountability Act; Softwood Lumber Agreement; Afghanistan Mission; 2006 Ontario terrorism plot; Québécois nation motion; 2008 financial crisis; Coalition crisis; Economic Action Plan; Afghan detainee issue; Parliamentary contempt; Withdrawal from the Kyoto Protocol; Repeal of the Long-Gun Registry; Senate expenses scandal; 2014 Parliament Hill shootings; Anti-terrorism Act, 2015. ","Accountability Act; Softwood Lumber Agreement; Afghanistan Mission; 2006 Ontario terrorism plot; Québécois nation motion; 2008 financial crisis; Coalition crisis; Economic Action Plan; Afghan detainee issue; Parliamentary contempt; Withdrawal from the Kyoto Protocol; Repeal of the Long-Gun Registry; Senate expenses scandal; 2014 Parliament Hill shootings; Anti-terrorism Act, 2015." 23,,Justin Trudeau (b. 1971),4 November 2015,14 March 2025,2015 election (42nd Parl. )⁠ 2019 election (43rd Parl. )⁠ 2021 election (44th Parl. ),,Liberal (Ldr. 2013),"MP for Papineau, QC",29th,[46]
23,,Justin Trudeau (b. 1971),"Eldest son of Pierre Trudeau, the 15th prime minister; served as Minister of Intergovernmental Affairs and Youth; brought Liberals from 3rd place to majority government; resettling of Syrian refugees; Paris Agreement; Canada–Europe Trade Agreement; Trans-Pacific Partnership Agreement; legalization of cannabis; Carbon pricing in Canada; Aga Khan affair; United States–Mexico–Canada Agreement; Extradition case of Meng Wanzhou; Negotiated Release of Michael Spavor and Michael Kovrig; SNC-Lavalin affair; COVID-19 pandemic; use of the Emergencies Act; WE Charity scandal; weapon shipment for defence of Ukraine; confidence and supply agreement with NDP; diplomatic dispute with India; Canada Child Benefit; $10 a day childcare; Yaroslav Hunka scandal; Canadian Dental Care Plan; Pharmacare; 2024–2025 Canadian political crisis; 2025 United States trade war with Canada and Mexico. ","Eldest son of Pierre Trudeau, the 15th prime minister; served as Minister of Intergovernmental Affairs and Youth; brought Liberals from 3rd place to majority government; resettling of Syrian refugees; Paris Agreement; Canada–Europe Trade Agreement; Trans-Pacific Partnership Agreement; legalization of cannabis; Carbon pricing in Canada; Aga Khan affair; United States–Mexico–Canada Agreement; Extradition case of Meng Wanzhou; Negotiated Release of Michael Spavor and Michael Kovrig; SNC-Lavalin affair; COVID-19 pandemic; use of the Emergencies Act; WE Charity scandal; weapon shipment for defence of Ukraine; confidence and supply agreement with NDP; diplomatic dispute with India; Canada Child Benefit; $10 a day childcare; Yaroslav Hunka scandal; Canadian Dental Care Plan; Pharmacare; 2024–2025 Canadian political crisis; 2025 United States trade war with Canada and Mexico. ","Eldest son of Pierre Trudeau, the 15th prime minister; served as Minister of Intergovernmental Affairs and Youth; brought Liberals from 3rd place to majority government; resettling of Syrian refugees; Paris Agreement; Canada–Europe Trade Agreement; Trans-Pacific Partnership Agreement; legalization of cannabis; Carbon pricing in Canada; Aga Khan affair; United States–Mexico–Canada Agreement; Extradition case of Meng Wanzhou; Negotiated Release of Michael Spavor and Michael Kovrig; SNC-Lavalin affair; COVID-19 pandemic; use of the Emergencies Act; WE Charity scandal; weapon shipment for defence of Ukraine; confidence and supply agreement with NDP; diplomatic dispute with India; Canada Child Benefit; $10 a day childcare; Yaroslav Hunka scandal; Canadian Dental Care Plan; Pharmacare; 2024–2025 Canadian political crisis; 2025 United States trade war with Canada and Mexico. ","Eldest son of Pierre Trudeau, the 15th prime minister; served as Minister of Intergovernmental Affairs and Youth; brought Liberals from 3rd place to majority government; resettling of Syrian refugees; Paris Agreement; Canada–Europe Trade Agreement; Trans-Pacific Partnership Agreement; legalization of cannabis; Carbon pricing in Canada; Aga Khan affair; United States–Mexico–Canada Agreement; Extradition case of Meng Wanzhou; Negotiated Release of Michael Spavor and Michael Kovrig; SNC-Lavalin affair; COVID-19 pandemic; use of the Emergencies Act; WE Charity scandal; weapon shipment for defence of Ukraine; confidence and supply agreement with NDP; diplomatic dispute with India; Canada Child Benefit; $10 a day childcare; Yaroslav Hunka scandal; Canadian Dental Care Plan; Pharmacare; 2024–2025 Canadian political crisis; 2025 United States trade war with Canada and Mexico. ","Eldest son of Pierre Trudeau, the 15th prime minister; served as Minister of Intergovernmental Affairs and Youth; brought Liberals from 3rd place to majority government; resettling of Syrian refugees; Paris Agreement; Canada–Europe Trade Agreement; Trans-Pacific Partnership Agreement; legalization of cannabis; Carbon pricing in Canada; Aga Khan affair; United States–Mexico–Canada Agreement; Extradition case of Meng Wanzhou; Negotiated Release of Michael Spavor and Michael Kovrig; SNC-Lavalin affair; COVID-19 pandemic; use of the Emergencies Act; WE Charity scandal; weapon shipment for defence of Ukraine; confidence and supply agreement with NDP; diplomatic dispute with India; Canada Child Benefit; $10 a day childcare; Yaroslav Hunka scandal; Canadian Dental Care Plan; Pharmacare; 2024–2025 Canadian political crisis; 2025 United States trade war with Canada and Mexico. ","Eldest son of Pierre Trudeau, the 15th prime minister; served as Minister of Intergovernmental Affairs and Youth; brought Liberals from 3rd place to majority government; resettling of Syrian refugees; Paris Agreement; Canada–Europe Trade Agreement; Trans-Pacific Partnership Agreement; legalization of cannabis; Carbon pricing in Canada; Aga Khan affair; United States–Mexico–Canada Agreement; Extradition case of Meng Wanzhou; Negotiated Release of Michael Spavor and Michael Kovrig; SNC-Lavalin affair; COVID-19 pandemic; use of the Emergencies Act; WE Charity scandal; weapon shipment for defence of Ukraine; confidence and supply agreement with NDP; diplomatic dispute with India; Canada Child Benefit; $10 a day childcare; Yaroslav Hunka scandal; Canadian Dental Care Plan; Pharmacare; 2024–2025 Canadian political crisis; 2025 United States trade war with Canada and Mexico. ","Eldest son of Pierre Trudeau, the 15th prime minister; served as Minister of Intergovernmental Affairs and Youth; brought Liberals from 3rd place to majority government; resettling of Syrian refugees; Paris Agreement; Canada–Europe Trade Agreement; Trans-Pacific Partnership Agreement; legalization of cannabis; Carbon pricing in Canada; Aga Khan affair; United States–Mexico–Canada Agreement; Extradition case of Meng Wanzhou; Negotiated Release of Michael Spavor and Michael Kovrig; SNC-Lavalin affair; COVID-19 pandemic; use of the Emergencies Act; WE Charity scandal; weapon shipment for defence of Ukraine; confidence and supply agreement with NDP; diplomatic dispute with India; Canada Child Benefit; $10 a day childcare; Yaroslav Hunka scandal; Canadian Dental Care Plan; Pharmacare; 2024–2025 Canadian political crisis; 2025 United States trade war with Canada and Mexico. ","Eldest son of Pierre Trudeau, the 15th prime minister; served as Minister of Intergovernmental Affairs and Youth; brought Liberals from 3rd place to majority government; resettling of Syrian refugees; Paris Agreement; Canada–Europe Trade Agreement; Trans-Pacific Partnership Agreement; legalization of cannabis; Carbon pricing in Canada; Aga Khan affair; United States–Mexico–Canada Agreement; Extradition case of Meng Wanzhou; Negotiated Release of Michael Spavor and Michael Kovrig; SNC-Lavalin affair; COVID-19 pandemic; use of the Emergencies Act; WE Charity scandal; weapon shipment for defence of Ukraine; confidence and supply agreement with NDP; diplomatic dispute with India; Canada Child Benefit; $10 a day childcare; Yaroslav Hunka scandal; Canadian Dental Care Plan; Pharmacare; 2024–2025 Canadian political crisis; 2025 United States trade war with Canada and Mexico." 24,,Mark Carney (b. 1965),14 March 2025,incumbent,Appointment (44th Parl. ),,Liberal (Ldr. 2025),Does not hold a seat in legislature,30th,[48]
24,,Mark Carney (b. 1965),First prime minister born in any of the territories; first prime minister to have never served in prior elected office; first Governor of the Bank of Canada to serve as prime minister and first to hold a high position in another country (Governor of the Bank of England); 2025 United States trade war with Canada and Mexico[47],First prime minister born in any of the territories; first prime minister to have never served in prior elected office; first Governor of the Bank of Canada to serve as prime minister and first to hold a high position in another country (Governor of the Bank of England); 2025 United States trade war with Canada and Mexico[47],First prime minister born in any of the territories; first prime minister to have never served in prior elected office; first Governor of the Bank of Canada to serve as prime minister and first to hold a high position in another country (Governor of the Bank of England); 2025 United States trade war with Canada and Mexico[47],First prime minister born in any of the territories; first prime minister to have never served in prior elected office; first Governor of the Bank of Canada to serve as prime minister and first to hold a high position in another country (Governor of the Bank of England); 2025 United States trade war with Canada and Mexico[47],First prime minister born in any of the territories; first prime minister to have never served in prior elected office; first Governor of the Bank of Canada to serve as prime minister and first to hold a high position in another country (Governor of the Bank of England); 2025 United States trade war with Canada and Mexico[47],First prime minister born in any of the territories; first prime minister to have never served in prior elected office; first Governor of the Bank of Canada to serve as prime minister and first to hold a high position in another country (Governor of the Bank of England); 2025 United States trade war with Canada and Mexico[47],First prime minister born in any of the territories; first prime minister to have never served in prior elected office; first Governor of the Bank of Canada to serve as prime minister and first to hold a high position in another country (Governor of the Bank of England); 2025 United States trade war with Canada and Mexico[47],First prime minister born in any of the territories; first prime minister to have never served in prior elected office; first Governor of the Bank of Canada to serve as prime minister and first to hold a high position in another country (Governor of the Bank of England); 2025 United States trade war with Canada and Mexico[47]
"LSParty won the election, but prime minister lost own seat *The Interpretation Act of 1967 states that ""where an appointment is made effective or terminates on a specified day, that appointment is considered to be effective or to terminate after the end of the previous day."" Under the Act, prime ministers' tenures are therefore credited as having concluded at the end of their last full day in office, although their resignation was received by the governor general on the following day. This provision applies to P. Trudeau in 1979[49] and 1984,[50] Clark,[51] Turner,[52] Mulroney,[53] Campbell,[54] Chrétien,[55] Martin,[55] Harper,[55] and J. Trudeau. ","LSParty won the election, but prime minister lost own seat *The Interpretation Act of 1967 states that ""where an appointment is made effective or terminates on a specified day, that appointment is considered to be effective or to terminate after the end of the previous day."" Under the Act, prime ministers' tenures are therefore credited as having concluded at the end of their last full day in office, although their resignation was received by the governor general on the following day. This provision applies to P. Trudeau in 1979[49] and 1984,[50] Clark,[51] Turner,[52] Mulroney,[53] Campbell,[54] Chrétien,[55] Martin,[55] Harper,[55] and J. Trudeau. ","LSParty won the election, but prime minister lost own seat *The Interpretation Act of 1967 states that ""where an appointment is made effective or terminates on a specified day, that appointment is considered to be effective or to terminate after the end of the previous day."" Under the Act, prime ministers' tenures are therefore credited as having concluded at the end of their last full day in office, although their resignation was received by the governor general on the following day. This provision applies to P. Trudeau in 1979[49] and 1984,[50] Clark,[51] Turner,[52] Mulroney,[53] Campbell,[54] Chrétien,[55] Martin,[55] Harper,[55] and J. Trudeau. ","LSParty won the election, but prime minister lost own seat *The Interpretation Act of 1967 states that ""where an appointment is made effective or terminates on a specified day, that appointment is considered to be effective or to terminate after the end of the previous day."" Under the Act, prime ministers' tenures are therefore credited as having concluded at the end of their last full day in office, although their resignation was received by the governor general on the following day. This provision applies to P. Trudeau in 1979[49] and 1984,[50] Clark,[51] Turner,[52] Mulroney,[53] Campbell,[54] Chrétien,[55] Martin,[55] Harper,[55] and J. Trudeau. ","LSParty won the election, but prime minister lost own seat *The Interpretation Act of 1967 states that ""where an appointment is made effective or terminates on a specified day, that appointment is considered to be effective or to terminate after the end of the previous day."" Under the Act, prime ministers' tenures are therefore credited as having concluded at the end of their last full day in office, although their resignation was received by the governor general on the following day. This provision applies to P. Trudeau in 1979[49] and 1984,[50] Clark,[51] Turner,[52] Mulroney,[53] Campbell,[54] Chrétien,[55] Martin,[55] Harper,[55] and J. Trudeau. ","LSParty won the election, but prime minister lost own seat *The Interpretation Act of 1967 states that ""where an appointment is made effective or terminates on a specified day, that appointment is considered to be effective or to terminate after the end of the previous day."" Under the Act, prime ministers' tenures are therefore credited as having concluded at the end of their last full day in office, although their resignation was received by the governor general on the following day. This provision applies to P. Trudeau in 1979[49] and 1984,[50] Clark,[51] Turner,[52] Mulroney,[53] Campbell,[54] Chrétien,[55] Martin,[55] Harper,[55] and J. Trudeau. ","LSParty won the election, but prime minister lost own seat *The Interpretation Act of 1967 states that ""where an appointment is made effective or terminates on a specified day, that appointment is considered to be effective or to terminate after the end of the previous day."" Under the Act, prime ministers' tenures are therefore credited as having concluded at the end of their last full day in office, although their resignation was received by the governor general on the following day. This provision applies to P. Trudeau in 1979[49] and 1984,[50] Clark,[51] Turner,[52] Mulroney,[53] Campbell,[54] Chrétien,[55] Martin,[55] Harper,[55] and J. Trudeau. ","LSParty won the election, but prime minister lost own seat *The Interpretation Act of 1967 states that ""where an appointment is made effective or terminates on a specified day, that appointment is considered to be effective or to terminate after the end of the previous day."" Under the Act, prime ministers' tenures are therefore credited as having concluded at the end of their last full day in office, although their resignation was received by the governor general on the following day. This provision applies to P. Trudeau in 1979[49] and 1984,[50] Clark,[51] Turner,[52] Mulroney,[53] Campbell,[54] Chrétien,[55] Martin,[55] Harper,[55] and J. Trudeau. ","LSParty won the election, but prime minister lost own seat *The Interpretation Act of 1967 states that ""where an appointment is made effective or terminates on a specified day, that appointment is considered to be effective or to terminate after the end of the previous day."" Under the Act, prime ministers' tenures are therefore credited as having concluded at the end of their last full day in office, although their resignation was received by the governor general on the following day. This provision applies to P. Trudeau in 1979[49] and 1984,[50] Clark,[51] Turner,[52] Mulroney,[53] Campbell,[54] Chrétien,[55] Martin,[55] Harper,[55] and J. Trudeau. ","LSParty won the election, but prime minister lost own seat *The Interpretation Act of 1967 states that ""where an appointment is made effective or terminates on a specified day, that appointment is considered to be effective or to terminate after the end of the previous day."" Under the Act, prime ministers' tenures are therefore credited as having concluded at the end of their last full day in office, although their resignation was received by the governor general on the following day. This provision applies to P. Trudeau in 1979[49] and 1984,[50] Clark,[51] Turner,[52] Mulroney,[53] Campbell,[54] Chrétien,[55] Martin,[55] Harper,[55] and J. Trudeau. ","LSParty won the election, but prime minister lost own seat *The Interpretation Act of 1967 states that ""where an appointment is made effective or terminates on a specified day, that appointment is considered to be effective or to terminate after the end of the previous day."" Under the Act, prime ministers' tenures are therefore credited as having concluded at the end of their last full day in office, although their resignation was received by the governor general on the following day. This provision applies to P. Trudeau in 1979[49] and 1984,[50] Clark,[51] Turner,[52] Mulroney,[53] Campbell,[54] Chrétien,[55] Martin,[55] Harper,[55] and J. Trudeau." Table:
0,1
Abbreviation key:,"No. : Incumbent number, Min. : Ministry, Refs: References"
Colour key:,"Liberal Party of Canada Historical Conservative parties (including Liberal-Conservative, Conservative (Historical), Unionist, National Liberal and Conservative, Progressive Conservative) Conservative Party of Canada"
Provinces key:,"AB: Alberta, BC: British Columbia, MB: Manitoba, NS: Nova Scotia, ON: Ontario, QC: Quebec, SK: Saskatchewan"


Canadian custom is to count by the individuals who were prime minister, not by terms. Since Confederation, 24 prime ministers have been called upon by the governor general to form 30 Canadian ministries. == Timeline ==


=


== Further reading ==
